Song Name,Singer(s),Mood,Language
Tum Se Hi,Mohit Chauhan,happy,Hindi
Saibo,Shreya Ghoshal & Sachin-Jigar,happy,Hindi
Ik Lamha,Azaan Sami Khan & Maya Ali,happy,Hindi
Sun Saathiya,Divya Kumar & Priya Saraiya,happy,Hindi
Khwab,Iqlipse Nova & Aditya A,happy,Hindi
Pehli Nazar Mein,Atif Aslam,happy,Hindi
Tera Hone Laga Hoon,Atif Aslam,happy,Hindi
Kaun Tujhe,Palak Muchhal,happy,Hindi
Janiye,Rashmeet Kaur & Vishal Mishra,happy,Hindi
Main Agar Kahoon,Sonu Nigam & Shreya Ghoshal,happy,Hindi
O Saathi,Atif Aslam & Manoj Bajpayee,happy,Hindi
Aakhon Se Batana,Dikshant,happy,Hindi
Sanam Re,Arijit Singh,happy,Hindi
Mann Mera,Gajendra Verma,happy,Hindi
Duniyaa,Akhil & Dhvani Bhanushali,happy,Hindi
Guzarish,Javed Ali,happy,Hindi
Love You Zindagi,Amit Trivedi,happy,Hindi
Buddhu Sa Mann,Amaal Mallik & Armann Malik,happy,Hindi
Woh Din,Arijit Singh,happy,Hindi
Aashayein,KK & Salim Merchant,happy,Hindi
Matargashti,Mohit Chauhan,happy,Hindi
Sau Aasmaan,Armaan Malik & Neeti Mohan,happy,Hindi
Kabhi Kabhi Aditi,Rashid Ali,happy,Hindi
Manwa Laage,Shreya Ghoshal & Arijit Singh,happy,Hindi
Hawayein,Arijit Singh & Pritam Chakraborty,happy,Hindi
Baazigar O Baazigar,Alka Yagnik & Kumar Sanu,happy,Hindi
Koi Mil Gaya,K.S. Chithra & Udit Narayan,happy,Hindi
Tujhe Dekha To,Kumar Sanu & Lata Mangeshkar,happy,Hindi
Tumse Milke Dil Ka,Anu Malik & Sonu Nigam,happy,Hindi
Suraj Hua Maddham,Alka Yagnik & Sonu Nigam,happy,Hindi
Gerua,Arijit Singh & Pritam Chakraborty,happy,Hindi
Chand Sifarish,Kailash Kher & Shaan,happy,Hindi
Maula Mere Maula,Roopkumar Rathod,happy,Hindi
Neele Neele Ambar Par,Kishore Kumar,happy,Hindi
Pyar Diwana Hota Hai,Kishore Kumar,happy,Hindi
Likhe Jo Khat Tujhe,Mohammed Rafi,happy,Hindi
Raabta,Arijit Singh,happy,Hindi
Tere Hoke Rahenge,Arijit Singh,happy,Hindi
Tum Hi Ho,Arijit Singh,happy,Hindi
Heeriye,Jasleen Royal & Arijit Singh,happy,Hindi
Tujh Mein Rab Dikhta Hai,Roopkumar Rathod & Jay Kadn,happy,Hindi
Thoda Thoda Pyaar,Kumaar & Nilesh Ahuja,happy,Hindi
